title	runtime	rating	genre	image_path	imdb_url	soup_url
Star Wars: Episode VIII - The Last Jedi	9120	6.9	Action, Adventure, Fantasy, Sci-Fi	./images/Star Wars: Episode VIII - The Last Jedi (2017).jpg	https://www.imdb.com/title/tt2527336/	https://moviebarcode.tumblr.com/page/1
Star Wars: Episode VIII - The Last Jedi	9120	6.9	Action, Adventure, Fantasy, Sci-Fi	./images/Sequence from: Star Wars: Episode VIII - The Last Jedi (2017).jpg	https://www.imdb.com/title/tt2527336/	https://moviebarcode.tumblr.com/page/1
And Then There Were None	5820	7.4	Crime, Drama, Mystery, Thriller	./images/And Then There Were None (1945).jpg	http://www.imdb.com/title/tt0037515/	https://moviebarcode.tumblr.com/page/1
Die Ehe der Maria Braun	7200	7.7	Drama	./images/Die Ehe der Maria Braun  The Marriage of Maria Braun (1979).jpg	http://www.imdb.com/title/tt0079095/	https://moviebarcode.tumblr.com/page/1
A Perfect Day	6360	6.8	Comedy, Drama, War	./images/A Perfect Day (2015).jpg	http://www.imdb.com/title/tt3577624/	https://moviebarcode.tumblr.com/page/1
Close Encounters of the Third Kind	8280	7.6	Drama, Sci-Fi	./images/Close Encounters of the Third Kind (1977).jpg	http://www.imdb.com/title/tt0075860/	https://moviebarcode.tumblr.com/page/1
Les vacances de Monsieur Hulot	6840	7.3	Comedy	./images/Les vacances de Monsieur Hulot (1953).jpg	http://www.imdb.com/title/tt0046487/	https://moviebarcode.tumblr.com/page/1
Il momento della verità	6600	7.2	Drama	./images/Il momento della verità  The Moment of Truth (1965).jpg	http://www.imdb.com/title/tt0059459/	https://moviebarcode.tumblr.com/page/1
Interview with the Vampire: The Vampire Chronicles	7380	7.5	Drama, Fantasy, Horror	./images/Interview with the Vampire (1994).jpg	http://www.imdb.com/title/tt0110148/	https://moviebarcode.tumblr.com/page/1
Xiao Bi de gu shi	6000	7.3	Drama	./images/Xiao Bi de gu shi  Growing Up (1983).jpg	http://www.imdb.com/title/tt0085695/	https://moviebarcode.tumblr.com/page/1
Journey to the Seventh Planet	4620	4.7	Action, Adventure, Fantasy, Horror, Sci-Fi	./images/Journey to the Seventh Planet (1962).jpg	http://www.imdb.com/title/tt0056127/	https://moviebarcode.tumblr.com/page/2
The Big Short	7800	7.8	Biography, Comedy, Drama, History	./images/The Big Short (2015).jpg	http://www.imdb.com/title/tt1596363/	https://moviebarcode.tumblr.com/page/2
Green Room	5700	7	Crime, Drama, Horror, Music, Thriller	./images/Green Room (2015).jpg	http://www.imdb.com/title/tt4062536/	https://moviebarcode.tumblr.com/page/2
I compagni	7800	7.9	Drama, History	./images/I compagni  The Organizer (1963).jpg	http://www.imdb.com/title/tt0056945/	https://moviebarcode.tumblr.com/page/2
O Menino e o Mundo	4800	7.5	Animation, Adventure, Family	./images/O Menino e o Mundo  Boy and the World (2013).jpg	http://www.imdb.com/title/tt3183630/	https://moviebarcode.tumblr.com/page/2
Dracula	7680	7.4	Drama, Fantasy, Horror, Romance	./images/Dracula (1992).jpg	http://www.imdb.com/title/tt0103874/	https://moviebarcode.tumblr.com/page/2
Anomalisa	5400	7.2	Animation, Comedy, Drama, Romance	./images/Anomalisa (2015).jpg	http://www.imdb.com/title/tt2401878/	https://moviebarcode.tumblr.com/page/2
Send Me No Flowers	6000	7	Comedy, Drama, Romance	./images/Send Me No Flowers (1964).jpg	http://www.imdb.com/title/tt0058571/	https://moviebarcode.tumblr.com/page/2
Fanny och Alexander	11280	8.1	Drama	./images/Fanny och Alexander (1982).jpg	http://www.imdb.com/title/tt0083922/	https://moviebarcode.tumblr.com/page/2
Bound for Glory	8820	7.3	Biography, Drama, Music	./images/Bound for Glory (1976).jpg	http://www.imdb.com/title/tt0074235/	https://moviebarcode.tumblr.com/page/3
Resurrected	5760	6.3	Drama, War	./images/Resurrected (1989).jpg	http://www.imdb.com/title/tt0098190/	https://moviebarcode.tumblr.com/page/3
Short Circuit	5880	6.6	Comedy, Family, Sci-Fi	./images/Short Circuit (1986).jpg	http://www.imdb.com/title/tt0091949/	https://moviebarcode.tumblr.com/page/3
Below	6300	6.1	Action, Horror, Mystery, Thriller	./images/Below (2002).jpg	http://www.imdb.com/title/tt0276816/	https://moviebarcode.tumblr.com/page/3
Que Horas Ela Volta?	6720	7.7	Comedy, Drama	./images/Que Horas Ela Volta?  The Second Mother (2015).jpg	http://www.imdb.com/title/tt3742378/	https://moviebarcode.tumblr.com/page/3
*batteries not included	6360	6.6	Comedy, Family, Fantasy, Sci-Fi	./images/*batteries not included (1987).jpg	http://www.imdb.com/title/tt0092494/	https://moviebarcode.tumblr.com/page/3